count,deep,Source,Target,Weight
1757,417,9986144,9988824,167
1758,418,9988632,9988824,12
1759,419,9988656,9988824,10
1760,420,9988776,9988824,3
1761,421,9988824,9988824,0
1762,418,9988752,9989760,63
1763,419,9988752,9988728,-2
1764,420,9988752,9989040,18
1765,421,9988896,9989040,9
1766,422,9988344,9989040,43
1767,423,9988704,9989040,21
1768,424,9989040,9989040,0
1769,421,9988872,9988728,-9
1770,422,9988848,9988728,-8
1771,423,9988392,9988728,21
1772,424,9988392,9989016,39
1773,425,9988368,9989016,40
1774,426,9988920,9989016,6
1775,427,9989016,9989016,0
1776,425,9988944,9988728,-14
1777,426,9988728,9988728,0
1778,422,9988464,9989760,81
1779,423,9988464,9988440,-2
1780,424,9988464,9988320,-9
1781,425,9988464,9988464,0
1782,426,9988584,9988320,-17
1783,427,9988488,9988320,-11
1784,428,9988992,9988320,-42
1785,429,9988320,9988320,0
1786,426,9988440,9988440,0
1787,426,9988536,9989760,76
1788,427,9988536,9988560,1
1789,428,9988560,9988560,0
1790,428,9989808,9989760,-3
1791,429,9989808,9989064,-47
1792,430,9989544,9989064,-30
1793,431,9989064,9989064,0
1794,430,9989760,9989760,0
1795,426,9989520,9989232,-18
1796,427,9989352,9989232,-8
1797,428,9989592,9989232,-23
1798,429,9989088,9989232,9
1799,430,9989232,9989232,0
1800,423,9989112,9989832,45
1801,424,9989112,9989328,13
1802,425,9989736,9989328,-26
1803,426,9989568,9989328,-15
1804,427,9989616,9989328,-18
1805,428,9989328,9989328,0
1806,425,9989424,9989832,25
1807,426,9989184,9989832,40
1808,427,9989184,9989784,37
1809,428,9989712,9989784,4
1810,429,9989256,9989784,33
1811,430,9989376,9989784,25
1812,431,9989688,9989784,6
1813,432,9989784,9989784,0
1814,428,9989304,9989832,33
1815,429,9989304,9989448,9
1816,430,9989304,9989400,6
1817,431,9989400,9989400,0
1818,430,9989496,9989832,21
1819,431,9990288,9989832,-29
1820,432,9990552,9989832,-45
1821,433,9989880,9989832,-3
1822,434,9989880,9990408,33
1823,435,9990120,9990408,18
1824,436,9990408,9990408,0
1825,435,9990336,9989832,-32
1826,436,9990336,9990336,0
1827,437,9989904,9989832,-5
1828,438,9989832,9989832,0
1829,425,9989928,10036360,2902
1830,426,9989928,10025680,2234
1831,427,9989928,10020928,1937
1832,428,9989928,9999448,595
1833,429,9989928,9997384,466
1834,430,9989928,10001920,749
1835,431,9989928,9990096,10
1836,432,9989928,9990528,37
1837,433,9990480,9990528,3
1838,434,9990480,9990264,-14
1839,435,9990360,9990264,-6
1840,436,9990384,9990264,-8
1841,437,9989952,9990264,19
1842,438,9990264,9990264,0
1843,435,9990528,9990528,0
1844,434,9990144,9990096,-3
1845,435,9990144,9990192,3
1846,436,9990312,9990192,-8
1847,437,9990576,9990192,-24
1848,438,9990576,9990576,0
1849,439,9990024,9990192,10
1850,440,9990192,9990192,0
1851,437,9990072,9990096,1
1852,438,9990096,9990096,0
1853,436,9990240,10001920,730
1854,437,9990240,9993528,205
1855,438,9990240,9992496,141
